Home - Fraction of weekdays with session,Work - Fraction of weekdays with session,Other Slow - Fraction of weekdays with session,Other Fast - Fraction of weekdays with session,MUD - Fraction of weekdays with session
0.0,0.16666666666666666,0.05,0.0,0.0
0.0,0.004166666666666667,0.1583333333333333,0.0,0.0
0.0,0.020833333333333332,0.058333333333333334,0.0,0.0
0.0,0.08333333333333333,0.15416666666666667,0.0,0.0
0.0,0.575,0.0,0.0,0.0
0.0,0.0,0.5041666666666667,0.0,0.0
0.0,0.0,0.09583333333333334,0.0,0.0
0.0,0.06666666666666667,0.029166666666666667,0.0,0.0
0.0,0.0125,0.24583333333333332,0.0,0.0
0.0,0.008333333333333333,0.058333333333333334,0.0,0.0
0.0,0.04583333333333333,0.43750000000000006,0.0,0.0
0.0,0.004166666666666667,0.16666666666666666,0.0,0.0
0.0,0.004166666666666667,0.21666666666666662,0.0,0.0
0.0,0.0125,0.06666666666666667,0.0,0.0
0.0,0.08333333333333333,0.0875,0.0,0.0
0.0,0.1125,0.21666666666666662,0.0,0.0
0.0,0.020833333333333332,0.07916666666666666,0.0,0.0
0.0,0.12916666666666665,0.008333333333333333,0.0,0.0
0.0,0.0,0.17916666666666667,0.0,0.0
0.0,0.6791666666666667,0.004166666666666667,0.0,0.0
0.0,0.525,0.004166666666666667,0.0,0.0
0.0,0.07916666666666666,0.004166666666666667,0.0,0.0
0.0,0.6583333333333333,0.004166666666666667,0.0,0.0
0.0,0.0,0.5166666666666666,0.0,0.0
0.0,0.2041666666666666,0.004166666666666667,0.0,0.0
0.0,0.004166666666666667,0.175,0.0,0.0
0.0,0.16666666666666666,0.020833333333333332,0.0,0.0
0.0,0.3708333333333334,0.2125,0.0,0.0
0.0,0.004166666666666667,0.16666666666666666,0.0,0.0
0.0,0.0,0.17083333333333334,0.0,0.0
0.0,0.020833333333333332,0.10416666666666667,0.0,0.0
0.0,0.09583333333333334,0.0,0.0,0.0
0.0,0.4791666666666667,0.0,0.0,0.0
0.0,0.39583333333333326,0.03749999999999999,0.0,0.0
0.0,0.275,0.025000000000000005,0.0,0.0
0.0,0.12499999999999997,0.03333333333333333,0.0,0.0
0.0,0.11666666666666667,0.008333333333333333,0.0,0.0
0.0,0.004166666666666667,0.1875,0.0,0.0
0.0,0.03749999999999999,0.10416666666666667,0.0,0.0
0.0,0.6541666666666667,0.12916666666666665,0.0,0.0
0.0,0.041666666666666664,0.325,0.0,0.0
0.0,0.0125,0.12499999999999997,0.0,0.0
0.0,0.0,0.24166666666666667,0.0,0.0
0.0,0.016666666666666666,0.6458333333333334,0.0,0.0
0.0,0.004166666666666667,0.016666666666666666,0.0,0.0
0.0,0.016666666666666666,0.20833333333333334,0.0,0.0
0.0,0.062499999999999986,0.004166666666666667,0.0,0.0
0.0,0.0,0.10416666666666667,0.0,0.0
0.0,0.08333333333333333,0.0,0.0,0.0
0.0,0.6166666666666667,0.062499999999999986,0.0,0.0
0.0,0.004166666666666667,0.40833333333333327,0.0,0.0
0.0,0.0125,0.058333333333333334,0.0,0.0
0.0,0.0,0.2,0.0,0.0
0.0,0.06666666666666667,0.004166666666666667,0.0,0.0
0.0,0.016666666666666666,0.175,0.0,0.0
0.0,0.11666666666666667,0.004166666666666667,0.0,0.0
0.0,0.0125,0.14166666666666664,0.0,0.0
0.0,0.0,0.029166666666666667,0.0,0.0
0.0,0.10416666666666667,0.016666666666666666,0.0,0.0
0.0,0.020833333333333332,0.03333333333333333,0.0,0.0
0.0,0.24166666666666667,0.020833333333333332,0.0,0.0
0.0,0.1958333333333333,0.2041666666666666,0.0,0.0
0.0,0.24583333333333332,0.06666666666666667,0.0,0.0
0.0,0.7125,0.020833333333333332,0.0,0.0
0.0,0.008333333333333333,0.3708333333333334,0.0,0.0
0.0,0.22083333333333333,0.008333333333333333,0.0,0.0
0.0,0.05,0.10000000000000002,0.0,0.0
0.0,0.004166666666666667,0.06666666666666667,0.0,0.0
0.0,0.0,0.3125,0.0,0.0
0.0,0.17083333333333334,0.0125,0.0,0.0
0.0,0.0,0.16666666666666666,0.0,0.0
0.0,0.0125,0.029166666666666667,0.0,0.0
0.0,0.0,0.13333333333333333,0.0,0.0
0.0,0.0,0.08333333333333333,0.0,0.0
0.0,0.020833333333333332,0.07083333333333332,0.0,0.0
0.0,0.08333333333333333,0.10416666666666667,0.0,0.0
0.0,0.09166666666666666,0.008333333333333333,0.0,0.0
0.0,0.004166666666666667,0.3375,0.0,0.0
0.0,0.004166666666666667,0.2625,0.0,0.0
0.0,0.016666666666666666,0.05416666666666666,0.0,0.0
0.0,0.058333333333333334,0.27083333333333326,0.0,0.0
0.0,0.03333333333333333,0.09583333333333334,0.0,0.0
0.0,0.1125,0.2791666666666667,0.0,0.0
0.0,0.004166666666666667,0.10416666666666667,0.0,0.0
0.0,0.4208333333333333,0.058333333333333334,0.0,0.0
0.0,0.11666666666666667,0.0,0.0,0.0
0.0,0.175,0.17083333333333334,0.0,0.0
0.0,0.19166666666666668,0.029166666666666667,0.0,0.0
0.0,0.10000000000000002,0.008333333333333333,0.0,0.0
0.0,0.14166666666666664,0.0,0.0,0.0
0.0,0.1875,0.0125,0.0,0.0
0.0,0.4625000000000001,0.2791666666666667,0.0,0.0
0.0,0.041666666666666664,0.0875,0.0,0.0
0.0,0.008333333333333333,0.49999999999999994,0.0,0.0
0.0,0.041666666666666664,0.17916666666666667,0.0,0.0
0.0,0.3625,0.0,0.0,0.0
0.0,0.020833333333333332,0.0125,0.0,0.0
0.0,0.029166666666666667,0.08333333333333333,0.0,0.0
0.0,0.06666666666666667,0.004166666666666667,0.0,0.0
0.0,0.03333333333333333,0.058333333333333334,0.0,0.0
0.0,0.17083333333333334,0.1875,0.0,0.0
0.0,0.09166666666666666,0.016666666666666666,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.5166666666666666,0.05,0.0,0.0
0.0,0.004166666666666667,0.1583333333333333,0.0,0.0
0.0,0.041666666666666664,0.05,0.0,0.0
0.0,0.008333333333333333,0.36666666666666664,0.0,0.0
0.0,0.025000000000000005,0.10416666666666667,0.0,0.0
0.0,0.004166666666666667,0.08333333333333333,0.0,0.0
0.0,0.11666666666666667,0.12083333333333333,0.0,0.0
0.0,0.1625,0.020833333333333332,0.0,0.0
0.0,0.025000000000000005,0.21666666666666662,0.0,0.0
0.0,0.2583333333333333,0.3583333333333334,0.0,0.0
0.0,0.020833333333333332,0.020833333333333332,0.0,0.0
0.0,0.10833333333333332,0.10416666666666667,0.0,0.0
0.0,0.0125,0.5208333333333334,0.0,0.0
0.0,0.30416666666666664,0.029166666666666667,0.0,0.0
0.0,0.020833333333333332,0.3583333333333334,0.0,0.0
0.0,0.020833333333333332,0.24166666666666667,0.0,0.0
0.0,0.3875,0.020833333333333332,0.0,0.0
0.0,0.03333333333333333,0.025000000000000005,0.0,0.0
0.0,0.0,0.03333333333333333,0.0,0.0
0.0,0.04583333333333333,0.32083333333333336,0.0,0.0
0.0,0.03333333333333333,0.04583333333333333,0.0,0.0
0.0,0.0125,0.05416666666666666,0.0,0.0
0.0,0.175,0.0125,0.0,0.0
0.0,0.5708333333333334,0.008333333333333333,0.0,0.0
0.0,0.12499999999999997,0.016666666666666666,0.0,0.0
0.0,0.6208333333333333,0.04583333333333333,0.0,0.0
0.0,0.0,0.041666666666666664,0.0,0.0
0.0,0.0,0.37916666666666665,0.0,0.0
0.0,0.2125,0.016666666666666666,0.0,0.0
0.0,0.0125,0.004166666666666667,0.0,0.0
0.0,0.004166666666666667,0.2583333333333333,0.0,0.0
0.0,0.1625,0.016666666666666666,0.0,0.0
0.0,0.0125,0.08333333333333333,0.0,0.0
0.0,0.5875,0.04583333333333333,0.0,0.0
0.0,0.09583333333333334,0.0125,0.0,0.0
0.0,0.058333333333333334,0.12083333333333333,0.0,0.0
0.0,0.03333333333333333,0.03333333333333333,0.0,0.0
0.0,0.004166666666666667,0.008333333333333333,0.0,0.0
0.0,0.008333333333333333,0.275,0.0,0.0
0.0,0.30833333333333335,0.025000000000000005,0.0,0.0
0.0,0.025000000000000005,0.029166666666666667,0.0,0.0
0.0,0.025000000000000005,0.058333333333333334,0.0,0.0
0.0,0.008333333333333333,0.49583333333333335,0.0,0.0
0.0,0.4625000000000001,0.2625,0.0,0.0
0.0,0.008333333333333333,0.14166666666666664,0.0,0.0
0.0,0.0,0.1583333333333333,0.0,0.0
0.0,0.029166666666666667,0.03749999999999999,0.0,0.0
0.0,0.008333333333333333,0.041666666666666664,0.0,0.0
0.0,0.49166666666666664,0.062499999999999986,0.0,0.0
0.0,0.004166666666666667,0.10000000000000002,0.0,0.0
0.0,0.004166666666666667,0.34166666666666673,0.0,0.0
0.0,0.025000000000000005,0.04583333333333333,0.0,0.0
0.0,0.0,0.10416666666666667,0.0,0.0
0.0,0.008333333333333333,0.016666666666666666,0.0,0.0
0.0,0.8541666666666666,0.008333333333333333,0.0,0.0
0.0,0.05,0.17083333333333334,0.0,0.0
0.0,0.004166666666666667,0.34166666666666673,0.0,0.0
0.0,0.008333333333333333,0.23333333333333334,0.0,0.0
0.0,0.004166666666666667,0.2583333333333333,0.0,0.0
0.0,0.29583333333333334,0.004166666666666667,0.0,0.0
0.0,0.016666666666666666,0.10833333333333332,0.0,0.0
0.0,0.016666666666666666,0.23333333333333334,0.0,0.0
0.0,0.008333333333333333,0.03749999999999999,0.0,0.0
0.0,0.2041666666666666,0.0,0.0,0.0
0.0,0.041666666666666664,0.39999999999999986,0.0,0.0
0.0,0.10000000000000002,0.008333333333333333,0.0,0.0
0.0,0.0,0.025000000000000005,0.0,0.0
0.0,0.08333333333333333,0.07916666666666666,0.0,0.0
0.0,0.03333333333333333,0.5166666666666666,0.0,0.0
0.0,0.03749999999999999,0.0125,0.0,0.0
0.0,0.004166666666666667,0.3,0.0,0.0
0.0,0.2583333333333333,0.5041666666666667,0.0,0.0
0.0,0.004166666666666667,0.062499999999999986,0.0,0.0
0.0,0.016666666666666666,0.08333333333333333,0.0,0.0
0.0,0.5958333333333333,0.020833333333333332,0.0,0.0
0.0,0.8833333333333333,0.041666666666666664,0.0,0.0
0.0,0.0125,0.05,0.0,0.0
0.0,0.016666666666666666,0.03749999999999999,0.0,0.0
0.0,0.39166666666666666,0.07916666666666666,0.0,0.0
0.0,0.09166666666666666,0.1875,0.0,0.0
0.0,0.25000000000000006,0.14583333333333334,0.0,0.0
0.0,0.03749999999999999,0.39166666666666666,0.0,0.0
0.0,0.004166666666666667,0.15416666666666667,0.0,0.0
0.0,0.004166666666666667,0.0875,0.0,0.0
0.0,0.1875,0.008333333333333333,0.0,0.0
0.0,0.3333333333333333,0.004166666666666667,0.0,0.0
0.0,0.0125,0.12499999999999997,0.0,0.0
0.0,0.0,0.1875,0.0,0.0
0.0,0.04583333333333333,0.025000000000000005,0.0,0.0
0.0,0.5166666666666666,0.12499999999999997,0.0,0.0
0.0,0.004166666666666667,0.32083333333333336,0.0,0.0
0.0,0.008333333333333333,0.058333333333333334,0.0,0.0
0.0,0.05416666666666666,0.1875,0.0,0.0
0.0,0.12499999999999997,0.04583333333333333,0.0,0.0
0.0,0.004166666666666667,0.2125,0.0,0.0
0.0,0.004166666666666667,0.2,0.0,0.0
0.0,0.008333333333333333,0.49166666666666664,0.0,0.0
0.0,0.29583333333333334,0.525,0.0,0.0
0.0,0.44166666666666665,0.029166666666666667,0.0,0.0
0.0,0.25416666666666665,0.004166666666666667,0.0,0.0
0.0,0.016666666666666666,0.004166666666666667,0.0,0.0
0.0,0.12499999999999997,0.008333333333333333,0.0,0.0
0.0,0.004166666666666667,0.26666666666666666,0.0,0.0
0.0,0.008333333333333333,0.09166666666666666,0.0,0.0
0.0,0.10000000000000002,0.029166666666666667,0.0,0.0
0.0,0.09166666666666666,0.025000000000000005,0.0,0.0
0.0,0.09583333333333334,0.004166666666666667,0.0,0.0
0.0,0.14583333333333334,0.0125,0.0,0.0
0.0,0.020833333333333332,0.11666666666666667,0.0,0.0
0.0,0.03749999999999999,0.008333333333333333,0.0,0.0
0.0,0.2875,0.016666666666666666,0.0,0.0
0.0,0.004166666666666667,0.0875,0.0,0.0
0.0,0.8041666666666667,0.029166666666666667,0.0,0.0
0.0,0.4125,0.016666666666666666,0.0,0.0
0.0,0.05416666666666666,0.15,0.0,0.0
0.0,0.020833333333333332,0.09583333333333334,0.0,0.0
0.0,0.2916666666666667,0.025000000000000005,0.0,0.0
0.0,0.3458333333333333,0.10000000000000002,0.0,0.0
0.0,0.09583333333333334,0.2250000000000001,0.0,0.0
0.0,0.14583333333333334,0.0,0.0,0.0
0.0,0.025000000000000005,0.40833333333333327,0.0,0.0
0.0,0.0125,0.12083333333333333,0.0,0.0
0.0,0.05416666666666666,0.25416666666666665,0.0,0.0
0.0,0.0875,0.05,0.0,0.0
0.0,0.004166666666666667,0.075,0.0,0.0
0.0,0.016666666666666666,0.029166666666666667,0.0,0.0
0.0,0.0,0.38333333333333336,0.0,0.0
0.0,0.07916666666666666,0.0125,0.0,0.0
0.0,0.016666666666666666,0.13333333333333333,0.0,0.0
0.0,0.008333333333333333,0.13333333333333333,0.0,0.0
0.0,0.0875,0.03749999999999999,0.0,0.0
0.0,0.004166666666666667,0.09166666666666666,0.0,0.0
0.0,0.008333333333333333,0.05416666666666666,0.0,0.0
0.0,0.008333333333333333,0.075,0.0,0.0
0.0,0.12499999999999997,0.0875,0.0,0.0
0.0,0.020833333333333332,0.020833333333333332,0.0,0.0
0.0,0.04583333333333333,0.029166666666666667,0.0,0.0
0.0,0.14583333333333334,0.020833333333333332,0.0,0.0
0.0,0.525,0.15,0.0,0.0
0.0,0.004166666666666667,0.06666666666666667,0.0,0.0
0.0,0.0,0.05416666666666666,0.0,0.0
0.0,0.0125,0.10416666666666667,0.0,0.0
0.0,0.004166666666666667,0.2791666666666667,0.0,0.0
0.0,0.575,0.004166666666666667,0.0,0.0
0.0,0.0125,0.016666666666666666,0.0,0.0
0.0,0.24166666666666667,0.06666666666666667,0.0,0.0
0.0,0.004166666666666667,0.07083333333333332,0.0,0.0
0.0,0.49999999999999994,0.075,0.0,0.0
0.0,0.004166666666666667,0.3,0.0,0.0
0.0,0.008333333333333333,0.27083333333333326,0.0,0.0
0.0,0.0125,0.43750000000000006,0.0,0.0
0.0,0.004166666666666667,0.09166666666666666,0.0,0.0
0.0,0.0,0.11666666666666667,0.0,0.0
0.0,0.06666666666666667,0.004166666666666667,0.0,0.0
0.0,0.12916666666666665,0.0875,0.0,0.0
0.0,0.2583333333333333,0.008333333333333333,0.0,0.0
0.0,0.03749999999999999,0.175,0.0,0.0
0.0,0.17083333333333334,0.025000000000000005,0.0,0.0
0.0,0.40833333333333327,0.07083333333333332,0.0,0.0
0.0,0.025000000000000005,0.029166666666666667,0.0,0.0
0.0,0.13333333333333333,0.0,0.0,0.0
0.0,0.7375,0.075,0.0,0.0
0.0,0.3458333333333333,0.09166666666666666,0.0,0.0
0.0,0.0125,0.30833333333333335,0.0,0.0
0.0,0.0125,0.07083333333333332,0.0,0.0
0.0,0.275,0.004166666666666667,0.0,0.0
0.0,0.008333333333333333,0.12916666666666665,0.0,0.0
0.0,0.0,0.0875,0.0,0.0
0.0,0.26666666666666666,0.0125,0.0,0.0
0.0,0.025000000000000005,0.17083333333333334,0.0,0.0
0.0,0.25416666666666665,0.008333333333333333,0.0,0.0
0.0,0.004166666666666667,0.05,0.0,0.0
0.0,0.0125,0.14166666666666664,0.0,0.0
0.0,0.15416666666666667,0.004166666666666667,0.0,0.0
0.0,0.029166666666666667,0.029166666666666667,0.0,0.0
0.0,0.12083333333333333,0.22083333333333333,0.0,0.0
0.0,0.13749999999999998,0.03749999999999999,0.0,0.0
0.0,0.32916666666666666,0.03749999999999999,0.0,0.0
0.0,0.075,0.004166666666666667,0.0,0.0
0.0,0.2625,0.14583333333333334,0.0,0.0
0.0,0.025000000000000005,0.06666666666666667,0.0,0.0
0.0,0.016666666666666666,0.25000000000000006,0.0,0.0
0.0,0.004166666666666667,0.10000000000000002,0.0,0.0
0.0,0.041666666666666664,0.12083333333333333,0.0,0.0
0.0,0.058333333333333334,0.008333333333333333,0.0,0.0
0.0,0.14583333333333334,0.025000000000000005,0.0,0.0
0.0,0.004166666666666667,0.058333333333333334,0.0,0.0
0.0,0.025000000000000005,0.09166666666666666,0.0,0.0
0.0,0.004166666666666667,0.2916666666666667,0.0,0.0
0.0,0.004166666666666667,0.09166666666666666,0.0,0.0
0.0,0.12499999999999997,0.13333333333333333,0.0,0.0
0.0,0.004166666666666667,0.06666666666666667,0.0,0.0
0.0,0.1875,0.6791666666666667,0.0,0.0
0.0,0.004166666666666667,0.6,0.0,0.0
0.0,0.016666666666666666,0.025000000000000005,0.0,0.0
0.0,0.004166666666666667,0.10833333333333332,0.0,0.0
0.0,0.4125,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0
0.0,0.03333333333333333,0.15416666666666667,0.0,0.0
0.0,0.10000000000000002,0.029166666666666667,0.0,0.0
0.0,0.11666666666666667,0.025000000000000005,0.0,0.0
0.0,0.029166666666666667,0.020833333333333332,0.0,0.0
0.0,0.0125,0.11666666666666667,0.0,0.0
0.0,0.05416666666666666,0.0,0.0,0.0
0.0,0.041666666666666664,0.0875,0.0,0.0
0.0,0.2916666666666667,0.004166666666666667,0.0,0.0
0.0,0.28333333333333327,0.008333333333333333,0.0,0.0
0.0,0.004166666666666667,0.10416666666666667,0.0,0.0
0.0,0.004166666666666667,0.4625000000000001,0.0,0.0
0.0,0.03333333333333333,0.10416666666666667,0.0,0.0
0.0,0.008333333333333333,0.08333333333333333,0.0,0.0
0.0,0.03749999999999999,0.08333333333333333,0.0,0.0
0.0,0.18333333333333332,0.16666666666666666,0.0,0.0
0.0,0.062499999999999986,0.058333333333333334,0.0,0.0
0.0,0.08333333333333333,0.020833333333333332,0.0,0.0
0.0,0.03333333333333333,0.025000000000000005,0.0,0.0
0.0,0.16666666666666666,0.0125,0.0,0.0
0.0,0.008333333333333333,0.05416666666666666,0.0,0.0
0.0,0.13749999999999998,0.0,0.0,0.0
0.0,0.0125,0.10416666666666667,0.0,0.0
0.0,0.004166666666666667,0.05,0.0,0.0
0.0,0.058333333333333334,0.004166666666666667,0.0,0.0
0.0,0.025000000000000005,0.5458333333333333,0.0,0.0
0.0,0.5833333333333334,0.11666666666666667,0.0,0.0
0.0,0.42916666666666664,0.0,0.0,0.0
0.0,0.12916666666666665,0.1875,0.0,0.0
0.0,0.19166666666666668,0.016666666666666666,0.0,0.0
0.0,0.42500000000000004,0.4041666666666667,0.0,0.0
0.0,0.325,0.004166666666666667,0.0,0.0
0.0,0.06666666666666667,0.008333333333333333,0.0,0.0
0.0,0.004166666666666667,0.07083333333333332,0.0,0.0
0.0,0.008333333333333333,0.09166666666666666,0.0,0.0
0.0,0.004166666666666667,0.06666666666666667,0.0,0.0
0.0,0.004166666666666667,0.2,0.0,0.0
0.0,0.025000000000000005,0.0125,0.0,0.0
0.0,0.016666666666666666,0.016666666666666666,0.0,0.0
0.0,0.4875,0.016666666666666666,0.0,0.0
0.0,0.2916666666666667,0.004166666666666667,0.0,0.0
0.0,0.008333333333333333,0.49166666666666664,0.0,0.0
0.0,0.43750000000000006,0.05416666666666666,0.0,0.0
0.0,0.6958333333333333,0.008333333333333333,0.0,0.0
0.0,0.44583333333333336,0.10416666666666667,0.0,0.0
0.0,0.18333333333333332,0.15,0.0,0.0
0.0,0.004166666666666667,0.07083333333333332,0.0,0.0
0.0,0.06666666666666667,0.004166666666666667,0.0,0.0
0.0,0.325,0.04583333333333333,0.0,0.0
0.0,0.041666666666666664,0.075,0.0,0.0
0.0,0.12083333333333333,0.008333333333333333,0.0,0.0
0.0,0.6916666666666667,0.03333333333333333,0.0,0.0
0.0,0.07083333333333332,0.1875,0.0,0.0
0.0,0.10416666666666667,0.05,0.0,0.0
0.0,0.03333333333333333,0.058333333333333334,0.0,0.0
0.0,0.04583333333333333,0.062499999999999986,0.0,0.0
0.0,0.020833333333333332,0.08333333333333333,0.0,0.0
0.0,0.30833333333333335,0.0,0.0,0.0
0.0,0.03749999999999999,0.03333333333333333,0.0,0.0
0.0,0.1125,0.004166666666666667,0.0,0.0
0.0,0.27083333333333326,0.07083333333333332,0.0,0.0
0.0,0.075,0.016666666666666666,0.0,0.0
0.0,0.44166666666666665,0.0,0.0,0.0
0.0,0.008333333333333333,0.20833333333333334,0.0,0.0
0.0,0.06666666666666667,0.26666666666666666,0.0,0.0
0.0,0.0,0.5375,0.0,0.0
0.0,0.004166666666666667,0.6666666666666666,0.0,0.0
0.0,0.004166666666666667,0.2250000000000001,0.0,0.0
0.0,0.0,0.15416666666666667,0.0,0.0
0.0,0.10000000000000002,0.0,0.0,0.0
0.0,0.004166666666666667,0.3375,0.0,0.0
0.0,0.029166666666666667,0.07916666666666666,0.0,0.0
0.0,0.058333333333333334,0.04583333333333333,0.0,0.0
0.0,0.06666666666666667,0.1958333333333333,0.0,0.0
0.0,0.008333333333333333,0.11666666666666667,0.0,0.0
0.0,0.004166666666666667,0.17916666666666667,0.0,0.0
0.0,0.4583333333333333,0.016666666666666666,0.0,0.0
0.0,0.2,0.14166666666666664,0.0,0.0
0.0,0.004166666666666667,0.32916666666666666,0.0,0.0
0.0,0.008333333333333333,0.09583333333333334,0.0,0.0
0.0,0.008333333333333333,0.10000000000000002,0.0,0.0
0.0,0.10000000000000002,0.041666666666666664,0.0,0.0
0.0,0.008333333333333333,0.07916666666666666,0.0,0.0
0.0,0.23333333333333334,0.0125,0.0,0.0
0.0,0.020833333333333332,0.15416666666666667,0.0,0.0
0.0,0.05416666666666666,0.5708333333333334,0.0,0.0
0.0,0.004166666666666667,0.09166666666666666,0.0,0.0
0.0,0.0875,0.025000000000000005,0.0,0.0
0.0,0.12916666666666665,0.0,0.0,0.0
0.0,0.004166666666666667,0.2,0.0,0.0
0.0,0.008333333333333333,0.08333333333333333,0.0,0.0
0.0,0.025000000000000005,0.07916666666666666,0.0,0.0
0.0,0.5916666666666667,0.275,0.0,0.0
0.0,0.175,0.0125,0.0,0.0
0.0,0.016666666666666666,0.26666666666666666,0.0,0.0
0.0,0.25000000000000006,0.008333333333333333,0.0,0.0
0.0,0.008333333333333333,0.14583333333333334,0.0,0.0
0.0,0.03333333333333333,0.041666666666666664,0.0,0.0
0.0,0.49166666666666664,0.03749999999999999,0.0,0.0
0.0,0.004166666666666667,0.1625,0.0,0.0
0.0,0.08333333333333333,0.11666666666666667,0.0,0.0
0.0,0.004166666666666667,0.075,0.0,0.0
0.0,0.7041666666666667,0.004166666666666667,0.0,0.0
0.0,0.34166666666666673,0.03749999999999999,0.0,0.0
0.0,0.44583333333333336,0.029166666666666667,0.0,0.0
0.0,0.004166666666666667,0.175,0.0,0.0
0.0,0.008333333333333333,0.49583333333333335,0.0,0.0
0.0,0.09166666666666666,0.04583333333333333,0.0,0.0
0.0,0.0,0.0875,0.0,0.0
0.0,0.2791666666666667,0.004166666666666667,0.0,0.0
0.0,0.03749999999999999,0.05416666666666666,0.0,0.0
0.0,0.0,0.12916666666666665,0.0,0.0
0.0,0.004166666666666667,0.10833333333333332,0.0,0.0
0.0,0.004166666666666667,0.07083333333333332,0.0,0.0
0.0,0.6208333333333333,0.020833333333333332,0.0,0.0
0.0,0.008333333333333333,0.025000000000000005,0.0,0.0
0.0,0.18333333333333332,0.03749999999999999,0.0,0.0
0.0,0.03749999999999999,0.22083333333333333,0.0,0.0
0.0,0.016666666666666666,0.07083333333333332,0.0,0.0
0.0,0.44166666666666665,0.025000000000000005,0.0,0.0
0.0,0.0125,0.10416666666666667,0.0,0.0
0.0,0.004166666666666667,0.13333333333333333,0.0,0.0
0.0,0.36666666666666664,0.062499999999999986,0.0,0.0
0.0,0.004166666666666667,0.21666666666666662,0.0,0.0
0.0,0.075,0.029166666666666667,0.0,0.0
0.0,0.24583333333333332,0.0,0.0,0.0
0.0,0.3125,0.30416666666666664,0.0,0.0
0.0,0.03333333333333333,0.12916666666666665,0.0,0.0
0.0,0.0125,0.1125,0.0,0.0
0.0,0.004166666666666667,0.10000000000000002,0.0,0.0
0.0,0.525,0.025000000000000005,0.0,0.0
0.0,0.016666666666666666,0.09166666666666666,0.0,0.0
0.0,0.004166666666666667,0.07083333333333332,0.0,0.0
0.0,0.2,0.05416666666666666,0.0,0.0
0.0,0.09583333333333334,0.2625,0.0,0.0
0.0,0.008333333333333333,0.23333333333333334,0.0,0.0
0.0,0.45000000000000007,0.029166666666666667,0.0,0.0
0.0,0.43750000000000006,0.004166666666666667,0.0,0.0
0.0,0.0,0.06666666666666667,0.0,0.0
0.0,0.07916666666666666,0.004166666666666667,0.0,0.0
0.0,0.058333333333333334,0.175,0.0,0.0
0.0,0.49999999999999994,0.029166666666666667,0.0,0.0
0.0,0.004166666666666667,0.16666666666666666,0.0,0.0
0.0,0.7333333333333333,0.025000000000000005,0.0,0.0
0.0,0.32083333333333336,0.25416666666666665,0.0,0.0
0.0,0.008333333333333333,0.016666666666666666,0.0,0.0
0.0,0.025000000000000005,0.23333333333333334,0.0,0.0
0.0,0.3125,0.0875,0.0,0.0
0.0,0.24166666666666667,0.06666666666666667,0.0,0.0
0.0,0.0,0.004166666666666667,0.0,0.0
0.0,0.31666666666666665,0.008333333333333333,0.0,0.0
0.0,0.029166666666666667,0.10416666666666667,0.0,0.0
0.0,0.275,0.03749999999999999,0.0,0.0
0.0,0.020833333333333332,0.22916666666666666,0.0,0.0
0.0,0.44583333333333336,0.025000000000000005,0.0,0.0
0.0,0.5458333333333333,0.008333333333333333,0.0,0.0
0.0,0.12083333333333333,0.008333333333333333,0.0,0.0
0.0,0.020833333333333332,0.058333333333333334,0.0,0.0
0.0,0.029166666666666667,0.041666666666666664,0.0,0.0
0.0,0.29583333333333334,0.025000000000000005,0.0,0.0
0.0,0.0125,0.15416666666666667,0.0,0.0
0.0,0.020833333333333332,0.06666666666666667,0.0,0.0
0.0,0.2,0.39999999999999986,0.0,0.0
0.0,0.004166666666666667,0.30833333333333335,0.0,0.0
0.0,0.2041666666666666,0.004166666666666667,0.0,0.0
0.0,0.85,0.004166666666666667,0.0,0.0
0.0,0.5458333333333333,0.5416666666666665,0.0,0.0
0.0,0.675,0.025000000000000005,0.0,0.0
0.0,0.0,0.058333333333333334,0.0,0.0
0.0,0.008333333333333333,0.12916666666666665,0.0,0.0
0.0,0.07916666666666666,0.020833333333333332,0.0,0.0
0.0,0.008333333333333333,0.08333333333333333,0.0,0.0
0.0,0.0875,0.3625,0.0,0.0
0.0,0.0125,0.029166666666666667,0.0,0.0
0.0,0.6458333333333334,0.03333333333333333,0.0,0.0
0.0,0.016666666666666666,0.36666666666666664,0.0,0.0
0.0,0.15416666666666667,0.32916666666666666,0.0,0.0
0.0,0.0,0.058333333333333334,0.0,0.0
0.0,0.15416666666666667,0.0125,0.0,0.0
0.0,0.7416666666666667,0.025000000000000005,0.0,0.0
0.0,0.0125,0.062499999999999986,0.0,0.0
0.0,0.020833333333333332,0.10000000000000002,0.0,0.0
0.0,0.03333333333333333,0.5041666666666667,0.0,0.0
0.0,0.06666666666666667,0.058333333333333334,0.0,0.0
0.0,0.23750000000000002,0.004166666666666667,0.0,0.0
0.0,0.004166666666666667,0.175,0.0,0.0
0.0,0.5958333333333333,0.029166666666666667,0.0,0.0
0.0,0.3708333333333334,0.0125,0.0,0.0
0.0,0.008333333333333333,0.30833333333333335,0.0,0.0
0.0,0.004166666666666667,0.13749999999999998,0.0,0.0
0.0,0.3125,0.008333333333333333,0.0,0.0
0.0,0.004166666666666667,0.28333333333333327,0.0,0.0
0.0,0.0,0.6625,0.0,0.0
0.0,0.016666666666666666,0.23333333333333334,0.0,0.0
0.0,0.004166666666666667,0.16666666666666666,0.0,0.0
